 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,3521418059.9,2813571753.9,3825701439.0,4520946818.5,5224896718.7,6203256538.7,6971758282.3,9747886187.4,10109297047.5,12416152732.1,15856668555.8,17805098206.3,19907329777.6,20146416757.6,20497128555.7,19134221644.7
Albania,3480355258.0,3922100793.5,4348068242.2,5611496257.1,7184685781.5,8052077248.1,8896075004.6,10677324852.9,12881352893.7,12044205549.7,11926926615.8,12890760315.1,12319834195.3,12776224497.0,13228147516.1,11386853113.0
Algeria,54790398570.3,59413400923.6,61516103406.2,73482264190.9,91913680985.2,107046618669.7,123084258693.0,142482739809.8,180383848331.1,150317292079.4,177785053939.5,218331946925.3,227143746075.9,229701430292.2,238942664192.6,187493855609.3
American Samoa,,,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0
Andorra,1432606188.7,1548265808.1,1764279824.3,2366941808.9,2900245324.5,3161084091.1,3459337986.9,3957625367.2,4102319399.0,3688976340.8,3449925738.9,3629133574.3,3188652765.4,3193512950.0,3271685596.7,2789881258.5
Angola,9129594970.2,8936079117.7,15285592370.4,17812704586.4,23552057679.5,36970900883.8,52381025141.4,65266415494.3,88538665084.9,70307196181.7,83799474069.7,111789747670.6,128052915766.3,132339109040.2,135966802586.7,90496420506.6
Antigua and Barbuda,900551851.9,877514814.8,897988888.9,947955555.6,1026181481.5,1143714814.8,1303548148.1,1487300000.0,1557540740.7,1386444444.4,1298255555.6,1281337037.0,1327107407.4,1325425925.9,1378829629.6,1437755555.6
Argentina,284203750000.0,268696750000.0,97724004251.9,127586973492.2,164657930452.8,198737095012.3,232557260817.3,287530508430.6,361558037110.4,332976484577.6,423627422092.5,530158122010.4,545982375701.1,552025140252.2,526319673731.6,594749285413.2
Armenia,1911563668.9,2118467913.4,2376335048.4,2807061008.7,3576615240.4,4900469511.1,6384452066.5,9206301269.8,11662040713.9,8647937081.3,9260285755.6,10142111824.6,10619320682.9,11121464437.0,11609513246.8,10553337518.4
Aruba,1873452514.0,1896456983.2,1961843575.4,2044111731.8,2254830726.3,2360017318.4,2469782681.6,2677641340.8,2843024581.0,2553793296.1,2453597206.7,2637859217.9,2615208379.9,2727849720.7,2790849720.7,2962907262.6
Australia,416167815092.9,379629301675.1,395788696012.1,467739079790.3,614659980082.5,695692898676.6,748417562769.6,855007458585.2,1056112427190.4,928762122698.1,1148838233480.7,1398610616773.0,1547532281116.4,1577123329410.9,1468265356427.8,1351296372254.3
Austria,196181599831.3,196477206829.3,212837224022.8,260779834340.1,299210411454.8,313952317330.8,333905979332.5,386760177589.5,429234399096.2,399290118782.4,389827789217.6,428954737064.1,406750487603.6,426580502769.4,438556021078.0,379546097300.6
Azerbaijan,5272615723.0,5707616203.7,6236087738.3,7276413079.1,8680405740.9,13245421880.8,20981929497.6,33049419431.2,48851293785.4,44292427184.9,52909294791.9,65952796427.9,69679944504.2,74160560123.7,75239785452.1,53076235354.7
Bahamas The,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720400000.0,10395800000.0,10974100000.0,11671900000.0
Bahrain,9062898936.2,8976196808.5,9593510638.3,11074813829.8,13150159574.5,15968723404.3,18504760638.3,21730000000.0,25710904255.3,22938218085.1,26805984042.6,29914680851.1,31963404255.3,33823324468.1,34772526595.7,32523297872.3
Bangladesh,53369787318.6,53991289844.3,54724081490.5,60158929188.3,65108544250.0,69476001239.4,71795736172.2,79611644974.6,91636997371.0,102475158191.0,115275540051.3,128607482310.4,133310747603.5,149998957434.2,172886611653.8,195146608978.1
Barbados,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217323400.0,4675767950.0,4790410400.0,4466809600.0,5191188500.0,5342183800.0,5271257500.0,5361158350.0,5365976700.0,5288057750.0
Belarus,12736780455.2,12354820143.9,14594900944.8,17825444724.5,23141566292.9,30210091836.8,36961894281.3,45275711995.8,60752106347.1,50873167326.0,57231904542.9,61762382327.9,65685890438.9,75527558966.4,78812805039.1,56454889146.6
Belgium,236792460312.5,236746141604.4,258383599375.2,318082528506.6,369214712443.2,385714762230.0,408259840868.8,470922156309.5,517328087920.1,485014525992.5,481556503720.0,527196649048.6,498414364945.0,524097026598.6,537987419164.4,461044767544.5
Belize,1138900000.0,1172800000.0,1244650000.0,1308900000.0,1400850000.0,1474950000.0,1591150000.0,1707100000.0,1738900000.0,1688500000.0,1745700000.0,1827050000.0,1909400000.0,2032750000.0,2138250000.0,2193050000.0
Benin,3519991440.5,3666222635.1,4194342686.2,5349258094.5,6190270380.5,6567654954.4,7034111314.9,8169048382.8,9787734526.2,9738626517.0,9535345011.5,10693321370.0,11141358106.0,12517845127.7,13284527850.3,11388160997.1
Bermuda,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0
